trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
83,False,"{'a': 0.9, 'e': 0.9203129279589383}",20,0,-82.36326606506496,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
84,False,"{'a': 0.9, 'e': 0.9193926150309794}",25,10,-77.48555620871328,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 2}",1
85,False,"{'a': 0.9, 'e': 0.9184732224159483}",30,0,-137.97080761073158,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
86,False,"{'a': 0.9, 'e': 0.9175547491935324}",30,0,-138.8343144412206,"{0: 18, 1: 2, 2: 7, 3: 2, 4: 1}",0
87,False,"{'a': 0.9, 'e': 0.9166371944443389}",30,0,-174.3086122494868,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
88,False,"{'a': 0.9, 'e': 0.9157205572498945}",20,0,-169.8730253838951,"{0: 10, 1: 0, 2: 6, 3: 2, 4: 2}",0
89,False,"{'a': 0.9, 'e': 0.9148048366926447}",20,0,-170.56306715101655,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
90,False,"{'a': 0.9, 'e': 0.913890031855952}",20,0,-114.2096906832283,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
91,False,"{'a': 0.9, 'e': 0.912976141824096}",20,1,-67.44792733934158,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 2}",1
92,False,"{'a': 0.9, 'e': 0.912063165682272}",35,0,-121.29156092829676,"{0: 21, 1: 8, 2: 4, 3: 1, 4: 1}",0
93,False,"{'a': 0.9, 'e': 0.9111511025165897}",25,0,-152.7686522852517,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 4}",0
94,False,"{'a': 0.9, 'e': 0.9102399514140731}",20,0,-52.513414026320135,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
95,False,"{'a': 0.9, 'e': 0.9093297114626591}",20,0,-48.088655545152605,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
96,False,"{'a': 0.9, 'e': 0.9084203817511963}",20,0,-50.90105069430278,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
97,False,"{'a': 0.9, 'e': 0.9075119613694451}",20,2,-49.40029097978084,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
98,False,"{'a': 0.9, 'e': 0.9066044494080757}",20,0,-38.19154959443874,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
99,False,"{'a': 0.9, 'e': 0.9056978449586677}",35,0,-167.9747978538022,"{0: 25, 1: 1, 2: 5, 3: 1, 4: 3}",0
100,False,"{'a': 0.9, 'e': 0.9047921471137089}",30,16,-23.86216304710083,"{0: 9, 1: 2, 2: 3, 3: 0, 4: 0}",1
101,False,"{'a': 0.9, 'e': 0.9038873549665952}",25,0,-110.7585239156533,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
102,False,"{'a': 0.9, 'e': 0.9029834676116286}",20,0,-43.75333758361411,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.9, 'e': 0.902080484144017}",25,5,-133.53149985492334,"{0: 9, 1: 1, 2: 8, 3: 1, 4: 1}",1
104,False,"{'a': 0.9, 'e': 0.901178403659873}",30,0,-202.20261262084512,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
105,False,"{'a': 0.9, 'e': 0.9002772252562131}",20,14,13.385061354836383,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.9, 'e': 0.8993769480309569}",30,0,-57.25181980694334,"{0: 23, 1: 0, 2: 6, 3: 1, 4: 0}",0
107,False,"{'a': 0.9, 'e': 0.8984775710829259}",20,0,-96.83118036316796,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
108,False,"{'a': 0.9, 'e': 0.8975790935118431}",20,0,-51.294272833657544,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
109,False,"{'a': 0.9, 'e': 0.8966815144183312}",30,0,-173.48722092374473,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
110,False,"{'a': 0.9, 'e': 0.8957848329039129}",20,0,-100.76362621815639,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
111,False,"{'a': 0.9, 'e': 0.894889048071009}",25,0,-93.39824873363087,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
112,False,"{'a': 0.9, 'e': 0.8939941590229379}",25,0,-49.70951811399251,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 0}",0
113,False,"{'a': 0.9, 'e': 0.893100164863915}",25,0,-107.9096271718542,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 2}",0
114,False,"{'a': 0.9, 'e': 0.8922070646990511}",25,0,-125.96339339169612,"{0: 12, 1: 6, 2: 5, 3: 1, 4: 1}",1
115,False,"{'a': 0.9, 'e': 0.891314857634352}",30,0,-154.94720822894206,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
116,False,"{'a': 0.9, 'e': 0.8904235427767176}",20,0,-70.28397962642661,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
117,False,"{'a': 0.9, 'e': 0.889533119233941}",25,6,-103.70329085281813,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 2}",1
118,False,"{'a': 0.9, 'e': 0.8886435861147071}",20,0,-17.85042267851969,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.9, 'e': 0.8877549425285923}",20,0,-140.90562022903572,"{0: 12, 1: 3, 2: 2, 3: 0, 4: 3}",0
120,False,"{'a': 0.9, 'e': 0.8868671875860638}",25,1,-60.265589123000474,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
121,False,"{'a': 0.9, 'e': 0.8859803203984776}",25,0,-72.69725927683406,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
122,False,"{'a': 0.9, 'e': 0.8850943400780792}",20,0,-105.82900962816561,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
123,False,"{'a': 0.9, 'e': 0.8842092457380011}",20,0,-120.42107719120395,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
124,False,"{'a': 0.9, 'e': 0.8833250364922631}",30,0,-67.77951097261477,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
125,False,"{'a': 0.9, 'e': 0.8824417114557709}",25,0,-106.4869959951336,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
126,False,"{'a': 0.9, 'e': 0.8815592697443151}",35,0,-103.81595271183686,"{0: 26, 1: 2, 2: 5, 3: 0, 4: 2}",0
127,False,"{'a': 0.9, 'e': 0.8806777104745708}",25,0,-172.4164003084623,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
128,False,"{'a': 0.9, 'e': 0.8797970327640962}",20,0,-22.988673704356618,"{0: 14, 1: 5, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.9, 'e': 0.8789172357313321}",30,0,-87.05262382643451,"{0: 18, 1: 4, 2: 7, 3: 1, 4: 0}",0
130,False,"{'a': 0.9, 'e': 0.8780383184956008}",20,0,-121.73011108051232,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
131,False,"{'a': 0.9, 'e': 0.8771602801771051}",30,0,-69.94588543346673,"{0: 19, 1: 4, 2: 6, 3: 1, 4: 0}",0
132,False,"{'a': 0.9, 'e': 0.876283119896928}",20,0,-113.91901166480254,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
133,False,"{'a': 0.9, 'e': 0.8754068367770311}",20,0,-114.03185971797528,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
134,False,"{'a': 0.9, 'e': 0.8745314299402541}",20,0,-37.51555810363826,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
135,False,"{'a': 0.9, 'e': 0.8736568985103138}",20,0,-107.83716465097908,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
136,False,"{'a': 0.9, 'e': 0.8727832416118035}",25,0,-85.17029692736034,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
137,False,"{'a': 0.9, 'e': 0.8719104583701917}",20,0,-41.02953051067708,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
138,False,"{'a': 0.9, 'e': 0.8710385479118216}",20,0,-89.20149324128369,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
139,False,"{'a': 0.9, 'e': 0.8701675093639096}",25,0,-192.38694989182036,"{0: 14, 1: 3, 2: 3, 3: 2, 4: 3}",0
140,False,"{'a': 0.9, 'e': 0.8692973418545458}",20,0,-134.2929748737436,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
141,False,"{'a': 0.9, 'e': 0.8684280445126912}",20,0,-81.93824577827914,"{0: 10, 1: 5, 2: 3, 3: 2, 4: 0}",0
142,False,"{'a': 0.9, 'e': 0.8675596164681786}",20,0,-98.75087664194675,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
143,False,"{'a': 0.9, 'e': 0.8666920568517104}",30,11,-110.41699942713525,"{0: 12, 1: 0, 2: 5, 3: 0, 4: 2}",1
144,False,"{'a': 0.9, 'e': 0.8658253647948586}",20,0,-90.84262479096294,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
145,False,"{'a': 0.9, 'e': 0.8649595394300638}",25,0,-193.10333160208873,"{0: 14, 1: 0, 2: 7, 3: 1, 4: 3}",0
146,False,"{'a': 0.9, 'e': 0.8640945798906338}",30,0,-115.1615719296414,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
147,False,"{'a': 0.9, 'e': 0.8632304853107431}",20,0,-89.1907621916483,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 2}",0
148,False,"{'a': 0.9, 'e': 0.8623672548254323}",30,0,-133.94701921555148,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
149,False,"{'a': 0.9, 'e': 0.861504887570607}",25,0,-54.88899469818135,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
150,False,"{'a': 0.9, 'e': 0.8606433826830363}",30,0,-17.06163701211841,"{0: 25, 1: 1, 2: 3, 3: 1, 4: 0}",0
151,False,"{'a': 0.9, 'e': 0.8597827393003532}",20,0,-99.87893580712897,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
152,False,"{'a': 0.9, 'e': 0.8589229565610529}",25,0,-136.76381469828834,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 3}",0
153,False,"{'a': 0.9, 'e': 0.8580640336044919}",25,0,-85.36852129750261,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
154,False,"{'a': 0.9, 'e': 0.8572059695708873}",30,2,-191.14181715564183,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 3}",1
155,False,"{'a': 0.9, 'e': 0.8563487636013165}",20,0,-11.532566442642,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
156,False,"{'a': 0.9, 'e': 0.8554924148377152}",25,0,-118.91795155173689,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
157,False,"{'a': 0.9, 'e': 0.8546369224228775}",25,0,-112.89641476460162,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
158,False,"{'a': 0.9, 'e': 0.8537822855004545}",20,2,-39.22141960906043,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 0}",1
159,False,"{'a': 0.9, 'e': 0.8529285032149541}",25,0,-113.20778229328066,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
160,False,"{'a': 0.9, 'e': 0.8520755747117391}",25,0,-114.3026345980682,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
161,False,"{'a': 0.9, 'e': 0.8512234991370274}",20,0,-20.631008110502517,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
162,False,"{'a': 0.9, 'e': 0.8503722756378904}",25,0,-69.60168738340165,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
163,False,"{'a': 0.9, 'e': 0.8495219033622525}",25,0,-129.29983660671192,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
164,False,"{'a': 0.9, 'e': 0.8486723814588902}",20,0,-64.00107107573076,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
165,False,"{'a': 0.9, 'e': 0.8478237090774313}",20,0,-26.138247098978127,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
166,False,"{'a': 0.9, 'e': 0.8469758853683539}",20,9,-29.800971478710846,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
167,False,"{'a': 0.9, 'e': 0.8461289094829856}",20,13,2.2657970541844836,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.9, 'e': 0.8452827805735026}",25,0,-164.88126858106776,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
169,False,"{'a': 0.9, 'e': 0.8444374977929291}",20,0,-109.43675419862554,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
170,False,"{'a': 0.9, 'e': 0.8435930602951361}",20,0,-56.04484346519121,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
171,False,"{'a': 0.9, 'e': 0.842749467234841}",25,0,-112.80357815833943,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
172,False,"{'a': 0.9, 'e': 0.8419067177676062}",25,7,-108.01372881795398,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 1}",1
173,False,"{'a': 0.9, 'e': 0.8410648110498385}",30,0,-63.356307132090286,"{0: 24, 1: 0, 2: 5, 3: 0, 4: 1}",0
174,False,"{'a': 0.9, 'e': 0.8402237462387887}",30,10,-71.26597438417316,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",1
175,False,"{'a': 0.9, 'e': 0.83938352249255}",25,0,-101.71216254578353,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
176,False,"{'a': 0.9, 'e': 0.8385441389700574}",25,7,-47.18649913000693,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 0}",1
177,False,"{'a': 0.9, 'e': 0.8377055948310873}",20,0,-45.73055321504285,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
178,False,"{'a': 0.9, 'e': 0.8368678892362562}",30,16,-32.98967311828481,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
179,False,"{'a': 0.9, 'e': 0.83603102134702}",20,0,-38.547979386051246,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
180,False,"{'a': 0.9, 'e': 0.8351949903256729}",30,12,-116.42390019242653,"{0: 11, 1: 1, 2: 3, 3: 1, 4: 2}",1
181,False,"{'a': 0.9, 'e': 0.8343597953353473}",25,0,-196.45036457314174,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
182,False,"{'a': 0.9, 'e': 0.8335254355400119}",30,0,-137.2311876908174,"{0: 20, 1: 2, 2: 5, 3: 1, 4: 2}",0
183,False,"{'a': 0.9, 'e': 0.832691910104472}",20,1,-54.84861272045183,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 1}",1
